GEOTYPE|ST|GEOCOMP|GEO_ID|GEO_TTL|GEO_ID_F|NAICS2017|NAICS2017_TTL|NAICS2017_F|SECTOR|YEAR|FIRM|FIRM_F|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F|EMPQ1PW|EMPQ1PW_F|EMPQ2PW|EMPQ2PW_F|EMPQ3PW|EMPQ3PW_F|EMPQ4PW|EMPQ4PW_F|HOURS|HOURS_F|PAYANPW|PAYANPW_F|CSTMTOT|CSTMTOT_F|CSTMPRT|CSTMPRT_F|CSTRSL|CSTRSL_F|CSTFU|CSTFU_F|CSTELEC|CSTELEC_F|CSTCNT|CSTCNT_F|ELECPCH|ELECPCH_F|ELECGEN|ELECGEN_F|ELECSLD|ELECSLD_F|VALADD|VALADD_F|INVTOTB|INVTOTB_F|INVFINB|INVFINB_F|INVWIPB|INVWIPB_F|INVMATB|INVMATB_F|INVTOTE|INVTOTE_F|INVFINE|INVFINE_F|INVWIPE|INVWIPE_F|INVMATE|INVMATE_F|RPTOT|RPTOT_F|RPBLD|RPBLD_F|RPMCH|RPMCH_F|PCHTT|PCHTT_F|PCHTEMP|PCHTEMP_F|PCHCMPQ|PCHCMPQ_F|PCHEXSO|PCHEXSO_F|PCHDAPR|PCHDAPR_F|PCHCSVC|PCHCSVC_F|PCHRPR|PCHRPR_F|PCHRFUS|PCHRFUS_F|PCHADVT|PCHADVT_F|PCHPRTE|PCHPRTE_F|PCHTAX|PCHTAX_F|PCHOEXP|PCHOEXP_F
01|00|00|0100000US|United States||31199|All other food manufacturing||31|2017|1388||1534||28319765||3447959||802802||80714||64229||64295||65164||68199||134466||2315442||16333301||15551304||238332||99511||221530||222624||2447827||0|D|0||12054351||2003534||783445||147920||1072169||2174517||854169||145083||1175265||278421||189088||89333||2373375||512216||23507||17357||15379||24825||308106||133907||128564||159363||78785||971366|
01|00|00|0100000US|United States||311991|Perishable prepared food manufacturing||31|2017|746||813||15810647||2163567||481507||55965||45179||45181||46355||49156||95809||1533024||9357915||8926629||106988||41836||115885||166577||1195676||0||0||6468052||653089||209392||29605||414092||721438||232405||21912||467121||171809||104360||67449||1449631||388397||13443||6541||8043||14836||191579||78845||73890||67501||46426||560130|
01|00|00|0100000US|United States||311999|All other miscellaneous food manufacturing||31|2017|646||721||12509118||1284392||321295||24749||19050||19114||18809||19043||38657||782418||6975386||6624675||131344||57675||105645||56047||1252151||0|D|0||5586299||1350445||574053||118315||658077||1453079||621764||123171||708144||106612||84728||21884||923744||123819||10064||10816||7336||9989||116527||55062||54674||91862||32359||411236|
01|00|00|0100000US|United States||312|Beverage and tobacco product manufacturing||31|2017|8464||9194||155715065||10919928||2585348||208116||115489||118374||122072||120855||219556||5857482||56656404||50660377||4371580||367624||808942||447881||9263581||105845||0|D|99688053||23833775||9357930||8923940||5551905||24747387||9943860||8967402||5836125||1288862||993277||295585||9450041||453815||95770||54954||62739||128070||757927||451855||1541821||639121||844268||4419701|
01|00|00|0100000US|United States||3121|Beverage manufacturing||31|2017|8329||9033||108180455||10012910||2329867||194881||105837||108811||111481||109972||200737||5376019||48566831||42837335||4276874||329895||744996||377731||8357721||0|D|0|D|60247278||19288828||8192431||8667133||2429264||20221041||8788716||8704502||2727823||1258053||973088||284965||8728592||418643||89193||50807||57491||123873||693631||433636||1518591||460462||780653||4101612|
01|00|00|0100000US|United States||31211|Soft drink and ice manufacturing||31|2017|794||1238||44769464||3868585||932642||71994||48149||49759||49541||49533||93517||2496747||26080453||22330960||3013206||137058||396339||202890||4668947||0|D|0||18859315||2215401||1078940||212138||924323||2558696||1222031||239351||1097314||479229||365727||113502||3864762||197680||56808||16803||29433||38729||393162||249586||1100225||130224||220322||1431790|
01|00|00|0100000US|United States||312111|Soft drink manufacturing||31|2017|324||545||37919534||3150426||774470||55986||38554||39629||39508||39856||76526||2061338||23474888||20083774||2893507||94203||222893||180511||2592207||0||0||14585855||1851182||952651||184426||714105||2111624||1073876||204410||833338||385774||293204||92570||2753740||107300||50757||10338||26059||24623||315408||223609||1059553||91341||166849||677903|
01|00|00|0100000US|United States||312112|Bottled water manufacturing||31|2017|208||294||6100905||515725||118329||10784||7252||7349||7330||7300||13071||364561||2445741||2156798||111418||26897||131290||19338||1574998||0|D|0||3683971||343843||116903||26097||200843||425619||138180||33627||253812||73437||56518||16919||981661||78996||4944||5407||2536||10522||62897||18420||36522||34404||43109||683904|
01|00|00|0100000US|United States||312113|Ice manufacturing||31|2017|267||399||749025||202434||39843||5224||2343||2781||2703||2377||3920||70848||159824||90388||8281||15958||42156||3041||501742||0||0||589489||20376||9386||1615||9375||21453||9975||1314||10164||20018||16005||4013||129361||11384||1107||1058||838||3584||14857||7557||4150||4479||10364||69983|
01|00|00|0100000US|United States||31212|Breweries||31|2017|3211||3303||30114222||2802270||629758||62308||30805||31449||31699||31726||55405||1548499||11070504||10316965||373759||123068||205851||50861||2520433||29711||0|D|19162090||1109182||436049||284880||388253||1393592||517822||321479||554291||398159||317390||80769||1947746||51587||15032||8747||8624||19691||121382||125665||118922||89936||273856||1114304|
